,date,policy_type,start_stop,comments,total_phases,state
2508,2020-03-25,Nursing Homes,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open",,NC
2511,2020-03-31,Shelter in Place,start,State Policy Start,,TX
2513,2020-06-22,Houses of Worship,start,"Policy_Details: - Places of worship are encouraged to continue providing virtual services.

- Places of worship may operate with expanded capacity limits. In no event shall attendance at any service exceed 50% of the capacity of the facility or space where the service is occurring as set forth in its Certificate of Occupancy, or 100 persons, whichever is fewer. Groups of persons attending together shall not exceed 10 persons. Each group must be seated at least 6 feet from each other group.

- Places of worship that choose to operate on this limited basis must clean the facility between services and are encouraged to take reservations and assign seats to conform to this requirement and so as to facilitate contact tracing.

- Singing, choirs, all physical touching of others, and the passing or sharing of items pose particular dangers and are discouraged so as to prevent the spread of COVID-19.   Source information: https://coronavirus.dc.gov/sites/default/files/dc/sites/coronavirus/page_content/attachments/COVID-19_DC_Health_%20Guidance_for_Places_of_Worship_08202020.pdf",2.0,DC
2514,2020-05-08,Personal Care,start,"Policy_Details: Cooper signed an executive order modifying the stay-at-home order and transitioning the state into Phase 1 of easing restrictions, effective 5:00 p.m. on May 8. The order will last until at least May 22.
In Phase 1, personal care businesses will stay closed Phase Level: 1, Phase Details Source information: https://files.nc.gov/governor/documents/files/EO121-Stay-at-Home-Order-3.pdf",3.0,NC
2518,2020-03-23,Manufacturing,start,"Policy_Details: suppliers of essential products open (i.e. healthcare, pharma, tech, biotech, chemicals, sanitization, agriculture, waste removal, food & beverage, transportation, energy, steel, petroleum, fuel, mining, construction, national defense, communications) 
 Phase Level: 1, Phase Details Source information: https://www.in.gov/gov/files/Executive_Order_20-08_Stay_at_Home.pdf",5.0,IN
2521,2020-03-13,Allow Expand Medicaid Telehealth Coverage,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,TN
2522,2020-07-03,Mandate Face Mask Use By All Individuals In Public Facing Businesses,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open",,KS
2523,2020-03-14,State of Emergency,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,MS
2525,2020-05-04,Childcare (K-12),start,"Policy_Details: All buildings, facilities, and grounds for K-12 educational institutions, public or private, will remain closed through June 30. Educational institutions (including public and private pre-K-12 schools, colleges, and universities) may be open for purposes of facilitating distance learning, performing critical research, or performing essential functions. The Indiana Department of education, in consultation with the Indiana State Department of Health, shall develop guidance for graduation ceremonies, including virtual graduation, drive-in ceremonies, and in-person ceremonies with the number of participants limited to the number allowed in the governor's executive order.  Phase Level: 2, Phase Details Source information: https://backontrack.in.gov/files/BackOnTrack-IN_WhatsOpen-Closed-stage2.pdf",5.0,IN
2526,2020-03-26,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",,MD
2530,2020-05-07,Phase 2,start,"Policy_Details: Phase 2: Gov. Beshear announced the second phase of reopening the commonwealth’s economy
All businesses should follow the 10 rules of staying healthy at work as well as industry-specific guidance, which will be issued as soon as possible. The new tentative dates for reopening are: May 9 - houses of worship open to 33%
May 22 – Restaurants, with limited 33% capacity and outdoor seating, May 25 - reopening of personal care establishments 
June 1 – Movie theaters, fitness centers June 10 - houses of worship to 50%
June 11 – Campgrounds, public and private
June 15 – Child care, with reduced capacity; and potentially low-touch and outdoor youth sports
The Governor added that Phase 3 is coming July 1 with bars, with limitations, and gatherings up to 50 people allowed. Phase Level: 2, Phase Details Source information: https://kentucky.gov/Pages/Activity-stream.aspx?n=GovernorBeshear&prId=156, https://govstatus.egov.com/ky-healthy-at-work",,KY
2531,2020-03-19,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,TX
2532,2020-03-23,Houses of Worship,start,"Policy_Details: open with CDC guidelines 
 Phase Level: 1, Phase Details Source information: https://www.in.gov/gov/files/Executive_Order_20-08_Stay_at_Home.pdf",5.0,IN
2536,2020-03-20,Order Freezing Utility Shut Offs,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open",,CO
2540,2020-04-10,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",,UT
2542,2020-06-01,Manufacturing,start,"Policy_Details: All industries: practice social distancing
Retail: 25% capacity
No stated capacity limits on any other industries.   Source information: https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/pdf/economic-reopening61-15.pdf",,MO
2544,2020-09-07,Non-Essential Businesses,start,Policy_Details: All businesses that have facilities open to the general public are now open from 5:00 a.m. to 11:00 p.m. All businesses shall limit occupancy to 75%.   Source information: https://governor.gov.mp/news/press-releases/temporary-restrictions-lifted-cnmi-returns-to-community-vulnerability-level-blue/,5.0,MP
2545,2020-03-17,Reopened ACA Enrollment Using a Special Enrollment Period,start,"Other measures and details for this policy include: keep firearms sellers open, paid sick leave",,NV
2547,2020-03-13,Nursing Homes,start,Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate,,NM
2548,2020-05-09,Houses of Worship,start,"Policy_Details: religious ceremonies limited to 5 or fewer staff & attendees combined ; funerals & end-of-life rituals limited to 10 or fewer attendees (excluding staff)  Phase Level: 1, Phase Details Source information: https://www.reopeningri.com/resource_pdfs/Phase-I-summary-of-open-settings-05.08.20.pdf",3.0,RI
2550,2020-03-26,Shelter in Place,start,"Stay at home, effective March 26 at 6 a.m. A number of counties and cities in the state, including Denver and Boulder, had issued their own stay-at-home orders, but Gov. Jared Polis also issued a statewide order, reiterating the need for everyone to stay at home. “We owe it to ourselves and our fellow Americans in order to save lives,” he said.",,CO
2552,2020-05-08,Food and Drink,start,"Policy_Details: Executive order signed by governor, statewide. In Phase 1, restaurants remain limited to drive-through, takeout and delivery service. Bars will stay closed. Phase Level: 1, Phase Details Source information: https://files.nc.gov/governor/documents/files/EO121-Stay-at-Home-Order-3.pdf",3.0,NC
2553,2020-05-11,Food and Drink,start,"Policy_Details: restaurants open for food take-out & delivery only

 Phase Level: Shelter in Place, Phase Details Source information: https://content.govdelivery.com/attachments/WIGOV/2020/05/11/file_attachments/1447953/EMO36-SAHDialTurn2.pdf  ",3.0,WI
